sample_id,source_mode,symbol,direction_guess,direction_confidence,window_start,window_end,anchor_timestamp,anchor_timeframe,anchor_date,anchor_iso_week,month,session,candidate_source_type,entry_level_source,entry_level_confidence,entry_level_price,entry_level_is_heuristic,volatility_bucket,daily_atr_at_anchor,chart_path,html_path,execution_data_status,m1_candles_count,m5_candles_count,m15_candles_count,h1_candles_count,m1_count,m5_count,m15_count,h1_count,execution_window_start,execution_window_end,candidate_reason_codes,limitations,reviewer_should_skip_due_to_missing_ltf_data_manual,htf_liquidity_class_manual,ltf_liquidity_class_manual,multi_tf_alignment_manual,liquidity_taken_manual,liquidity_depth_quality_manual,shallow_liquidity_trap_manual,target_liquidity_available_manual,reaction_zone_present_manual,reaction_zone_type_manual,reaction_zone_age_quality_manual,fvg_valid_manual,ifvg_valid_manual,volume_crack_present_manual,volume_profile_clean_manual,number_theory_confluence_manual,adelin_v2_label_manual,would_trade_manual,no_trade_reason_manual,setup_quality_score_manual,reversal_or_continuation_manual,rare_ifvg_continuation_candidate_manual,expected_sl_pips_manual,sl_acceptable_manual,be_after_reaction_manual,early_close_candidate_manual,accumulation_after_entry_manual,m1_engulfing_against_manual,runner_target_manual,partial_management_manual,expected_target_area_manual,actual_reaction_quality_manual,actual_followthrough_quality_manual,reviewer_confidence_manual,reviewer_notes,automatic_outcome_label,direction_guess,entry_price,entry_level_source,entry_level_confidence,entry_level_reason_codes,entry_level_is_heuristic,max_favorable_pips,max_adverse_pips,time_to_100_pips_minutes,fast_reaction_100pips_15m,sl_20_hit,sl_40_hit,limitations
sample_001,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,UNKNOWN,2026-01-29T13:00:00+00:00,2026-01-29T17:30:00+00:00,2026-01-29T14:30:00+00:00,M15,2026-01-29,2026-W05,2026-01,NEW_YORK_OPEN,ROUND_LEVEL,ROUND_LEVEL,HIGH,5530.0,True,LOW,114.3743,charts/sample_001.svg,examples/sample_001.html,REVIEWABLE_M1_M5,72,55,19,5,72,55,19,5,2026-01-29T13:00:00+00:00,2026-01-29T17:30:00+00:00,NUMBER_THEORY_LEVEL_NEAR|NEW_YORK_OPEN_CONTEXT|ROUND_LEVEL_ENTRY_METADATA_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_REACTION,SHORT,5530.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,4317.7,197.6,111.0,False,True,True,
sample_002,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,HIGH,2026-01-29T17:15:00+00:00,2026-01-29T21:45:00+00:00,2026-01-29T18:45:00+00:00,M15,2026-01-29,2026-W05,2026-01,OTHER,SWEEP_EXTREME,SWEEP_EXTREME,LOW,5311.19,True,LOW,114.3743,charts/sample_002.svg,examples/sample_002.html,REVIEWABLE_M1_M5,271,55,19,4,271,55,19,4,2026-01-29T17:15:00+00:00,2026-01-29T21:45:00+00:00,LARGE_LOWER_WICK_REVERSAL_VISUAL_CANDIDATE|PRE_ANCHOR_SWEEP_EXTREME_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,SHORT,5311.19,SWEEP_EXTREME,LOW,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME,True,826.2,641.8,0.0,True,True,True,
sample_003,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,MEDIUM,2026-01-29T23:30:00+00:00,2026-01-30T04:00:00+00:00,2026-01-30T01:00:00+00:00,M15,2026-01-30,2026-W05,2026-01,ASIA_OPEN,SWEPT_LIQUIDITY_LEVEL,SWEPT_LIQUIDITY_LEVEL,MEDIUM,5426.08,True,MID,145.4793,charts/sample_003.svg,examples/sample_003.html,REVIEWABLE_M1_M5,208,43,15,4,208,43,15,4,2026-01-29T23:30:00+00:00,2026-01-30T04:00:00+00:00,M15_SWING_HIGH_SWEEP_VISUAL_CANDIDATE|ASIA_OPEN_CONTEXT|SWEPT_LIQUIDITY_LEVEL_METADATA_AVAILABLE,DIRECTION_NOT_INFERRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,5426.08,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,,,,False,False,False,DIRECTION_NOT_INFERRED
sample_004,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,MEDIUM,2026-02-02T05:15:00+00:00,2026-02-02T09:45:00+00:00,2026-02-02T06:45:00+00:00,M15,2026-02-02,2026-W06,2026-02,LONDON,ROUND_LEVEL,ROUND_LEVEL,HIGH,4680.0,True,MID,191.7493,charts/sample_004.svg,examples/sample_004.html,REVIEWABLE_M1_M5,271,55,19,4,271,55,19,4,2026-02-02T05:15:00+00:00,2026-02-02T09:45:00+00:00,NUMBER_THEORY_LEVEL_NEAR|LARGE_UPPER_WICK_REVERSAL_VISUAL_CANDIDATE|ROUND_LEVEL_ENTRY_METADATA_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,SHORT,4680.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,2778.6,334.6,22.0,False,True,True,
sample_005,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,HIGH,2026-02-01T23:45:00+00:00,2026-02-02T04:15:00+00:00,2026-02-02T01:15:00+00:00,M15,2026-02-02,2026-W06,2026-02,ASIA_OPEN,SWEEP_EXTREME,UNKNOWN,UNKNOWN,4867.12,True,MID,191.7493,charts/sample_005.svg,examples/sample_005.html,REVIEWABLE_M1_M5,196,40,14,4,196,40,14,4,2026-02-01T23:45:00+00:00,2026-02-02T04:15:00+00:00,ASIA_OPEN_CONTEXT|PRE_ANCHOR_SWEEP_EXTREME_CANDIDATE,ENTRY_DIRECTION_CONFLICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_ENTRY_LEVEL,LONG,,UNKNOWN,UNKNOWN,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,True,,,,False,False,False,ENTRY_DIRECTION_CONFLICT
sample_006,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,MEDIUM,2026-02-03T23:30:00+00:00,2026-02-04T04:00:00+00:00,2026-02-04T01:00:00+00:00,M15,2026-02-04,2026-W06,2026-02,ASIA_OPEN,SWEPT_LIQUIDITY_LEVEL,SWEPT_LIQUIDITY_LEVEL,MEDIUM,4969.81,True,HIGH,242.1543,charts/sample_006.svg,examples/sample_006.html,REVIEWABLE_M1_M5,211,43,15,4,211,43,15,4,2026-02-03T23:30:00+00:00,2026-02-04T04:00:00+00:00,M15_SWING_HIGH_SWEEP_VISUAL_CANDIDATE|ASIA_OPEN_CONTEXT|SWEPT_LIQUIDITY_LEVEL_METADATA_AVAILABLE,DIRECTION_NOT_INFERRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,4969.81,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,,,,False,False,False,DIRECTION_NOT_INFERRED
sample_007,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,UNKNOWN,2026-02-02T23:30:00+00:00,2026-02-03T04:00:00+00:00,2026-02-03T01:00:00+00:00,M15,2026-02-03,2026-W06,2026-02,ASIA_OPEN,UNKNOWN,UNKNOWN,UNKNOWN,,True,HIGH,222.2714,charts/sample_007.svg,examples/sample_007.html,REVIEWABLE_M1_M5,211,43,15,4,211,43,15,4,2026-02-02T23:30:00+00:00,2026-02-03T04:00:00+00:00,ASIA_OPEN_CONTEXT,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_ENTRY_LEVEL,UNKNOWN_DIRECTION,,UNKNOWN,UNKNOWN,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,True,,,,False,False,False,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY
sample_008,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,MEDIUM,2026-03-02T01:30:00+00:00,2026-03-02T06:00:00+00:00,2026-03-02T03:00:00+00:00,M15,2026-03-02,2026-W10,2026-03,ASIA,ROUND_LEVEL,ROUND_LEVEL,HIGH,5340.0,True,MID,123.9536,charts/sample_008.svg,examples/sample_008.html,REVIEWABLE_M1_M5,271,55,19,5,271,55,19,5,2026-03-02T01:30:00+00:00,2026-03-02T06:00:00+00:00,NUMBER_THEORY_LEVEL_NEAR|LARGE_LOWER_WICK_REVERSAL_VISUAL_CANDIDATE|ROUND_LEVEL_ENTRY_METADATA_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,LONG,5340.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,272.3,368.5,104.0,False,True,True,
sample_009,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,HIGH,2026-03-02T05:45:00+00:00,2026-03-02T10:15:00+00:00,2026-03-02T07:15:00+00:00,M15,2026-03-02,2026-W10,2026-03,LONDON,SWEEP_EXTREME,SWEEP_EXTREME,LOW,5345.23,True,MID,123.9536,charts/sample_009.svg,examples/sample_009.html,REVIEWABLE_M1_M5,271,55,19,5,271,55,19,5,2026-03-02T05:45:00+00:00,2026-03-02T10:15:00+00:00,LARGE_LOWER_WICK_REVERSAL_VISUAL_CANDIDATE|PRE_ANCHOR_SWEEP_EXTREME_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_SLOW_REACTION,LONG,5345.23,SWEEP_EXTREME,LOW,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME,True,740.3,46.1,18.0,False,True,True,
sample_010,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,MEDIUM,2026-03-02T23:30:00+00:00,2026-03-03T04:00:00+00:00,2026-03-03T01:00:00+00:00,M15,2026-03-03,2026-W10,2026-03,ASIA_OPEN,SWEPT_LIQUIDITY_LEVEL,SWEPT_LIQUIDITY_LEVEL,MEDIUM,5346.37,True,MID,128.7714,charts/sample_010.svg,examples/sample_010.html,REVIEWABLE_M1_M5,211,43,15,4,211,43,15,4,2026-03-02T23:30:00+00:00,2026-03-03T04:00:00+00:00,M15_SWING_HIGH_SWEEP_VISUAL_CANDIDATE|ASIA_OPEN_CONTEXT|SWEPT_LIQUIDITY_LEVEL_METADATA_AVAILABLE,DIRECTION_NOT_INFERRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,5346.37,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,,,,False,False,False,DIRECTION_NOT_INFERRED
