concept_id,concept_name,existing_feature_name,coverage_status,gap_description,future_action
PRE_DECISION_SWEEP_HIGH_LOW,Pre-decision sweep high/low,pre-decision sweep inference; h1_sweep_reaction_context,PARTIAL,"Direction governance uses sweep inference, but it is not a standalone candidate feature.",Freeze a pre-entry sweep feature only in a separate plan.
FAST_M1_REACTION_AFTER_SWEEP,Fast M1 reaction after sweep,fast_reaction diagnostics; m1_large_body_ge_0_60; m1_close_high_ge_0_70,PARTIAL,"Current use is mostly diagnostic/outcome-side or candle anatomy, not a clean pre-entry reaction proxy.",Define strict pre-decision-only reaction timing before any test.
TIGHT_SL_BEHIND_SPIKE_OR_SWING,Tight SL behind spike or swing,,MISSING,No locked invalidation-distance proxy exists.,Define local spike/swing invalidation distance with no future SL outcome.
SWING_HIGH_LOW_ZONE_PROXIMITY,Swing high/low zone proximity,h1_sweep_reaction_context; liquidity_htf_recent_level,PARTIAL,"Single/recent levels exist, but zone-width behavior is not fully represented.",Define swing-zone width and proximity rules.
HTF_LTF_LEVEL_CONFLUENCE,HTF/LTF level confluence,liquidity_htf_recent_level,PARTIAL,"HTF recency exists, but explicit HTF/LTF distance confluence is not locked.",Define HTF and LTF level sources and distance thresholds.
VOLUME_PROFILE_ZONE_PROXIMITY,Volume profile zone proximity,,MISSING,No validated volume-profile data source or binning method is locked.,Run data feasibility/governance branch before any feature plan.
PRICE_INSIDE_REACTION_ZONE,Price inside reaction zone,fvg_ifvg_near_20p,PARTIAL,"Proximity to FVG/iFVG exists, but inside-zone boundary logic is not locked.",Define reaction-zone source and boundary rules.
CLEAN_TARGET_SPACE_TO_NEXT_ZONE,Clean target space to next zone,target space proxy if present,PARTIAL,"A general target-space proxy exists in diagnostics, but next-zone definition is not frozen.",Define next opposing zone using pre-decision data only.
DIRTY_REACTION_CHOP_AFTER_ENTRY,Dirty reaction or chop after entry,dirty_chop_after_entry diagnostic tag,PARTIAL,"Covered only as post-entry diagnostic behavior, not a pre-entry feature.",Do not use as entry feature; consider only pre-entry risk proxies.
ZONE_RETEST_OR_RECLAIM,Zone retest or reclaim,,MISSING,No dedicated reclaim/retest proxy exists.,Freeze zone definitions and reclaim/retest candle rules.
ROUND_OR_NUMERIC_LEVEL_CONFLUENCE,Round or numeric level confluence,numeric level confluence; tight_numeric_level_touch_band,COVERED,Primary and stratification roles are already separated.,Keep 005 stratification-only; no standalone predictive interpretation.
SESSION_CONTEXT_ASIA_TO_NY_WINDOW,Session context Asia to NY window,session/hour; premium session context,COVERED,Timestamp/session bucket is available as context.,Use only as pre-registered stratification or context.
