concept_id,concept_name,human_description,screenshot_observation_note,current_adelin_feature_coverage,measurability_status,possible_proxy,required_data,leakage_risk,runtime_safe_now,future_priority,notes
PRE_DECISION_SWEEP_HIGH_LOW,Pre-decision sweep high/low,Price takes a visible high or low before the reaction context is evaluated.,Human screenshots repeatedly emphasize a sweep before the reaction rather than a naked entry.,PARTIAL,MEASURABLE_NOW,Completed pre-decision M1/M5 candle trades beyond a prior high/low and maps high sweep to SHORT context or low sweep to LONG context.,Existing OHLC candles; no image data required.,LOW,NO,HIGH,"Related to frozen direction governance rule adelin_v2_pre_decision_sweep_v1, but not yet a standalone entry feature."
FAST_M1_REACTION_AFTER_SWEEP,Fast M1 reaction after sweep,A quick M1 rejection or favorable impulse appears shortly after the sweep.,Manual examples visually separate fast reaction from slow/choppy continuation.,PARTIAL,MEASURABLE_WITH_EXISTING_OHLC_PROXY,Pre-register a sweep timestamp and measure only pre-decision reaction if used as context; post-entry reaction remains diagnostic-only.,Existing M1 OHLC; strict timestamp boundary is required.,HIGH,NO,HIGH,"If measured after entry, it is an outcome diagnostic, not an entry feature."
TIGHT_SL_BEHIND_SPIKE_OR_SWING,Tight SL behind spike or swing,"Manual examples often place the stop just beyond the spike, wick, or local swing invalidation.",Tight invalidation is visually important in the examples.,MISSING,MEASURABLE_WITH_EXISTING_OHLC_PROXY,Distance from entry/reference price to nearest completed pre-decision local swing or spike extreme.,Existing M1/M5 OHLC and a frozen swing/spike definition.,MEDIUM,NO,HIGH,Must not use whether the stop later held or failed.
SWING_HIGH_LOW_ZONE_PROXIMITY,Swing high/low zone proximity,"Price reacts around a swing zone, not only a single exact level.",Manual examples often mark a swing area as the relevant context.,PARTIAL,MEASURABLE_WITH_EXISTING_OHLC_PROXY,Distance from entry/reference price to a pre-defined recent swing high/low zone width.,Existing OHLC and a frozen swing-zone width rule.,MEDIUM,NO,HIGH,Current H1 liquidity and recent HTF liquidity features only partially cover zone behavior.
HTF_LTF_LEVEL_CONFLUENCE,HTF/LTF level confluence,A higher-timeframe level aligns with a lower-timeframe sweep/reaction area.,The manual examples suggest context stacks across timeframes.,PARTIAL,MEASURABLE_WITH_EXISTING_OHLC_PROXY,Distance between frozen HTF level and LTF swing/sweep level at decision timestamp.,Existing M1/M5/M15/H1/H4/D1 OHLC where available.,MEDIUM,NO,HIGH,Related to liquidity_htf_recent_level but needs a true two-timeframe confluence definition.
VOLUME_PROFILE_ZONE_PROXIMITY,Volume profile zone proximity,Manual charts show reactions around volume distribution levels or profile zones.,Volume profile appears visually important but is not supported by screenshot observation alone.,MISSING,MEASURABLE_WITH_NEW_DATA,Distance to POC/HVN/LVN/value-area levels from a frozen rolling volume-profile calculation.,Tick volume or real volume plus a frozen volume-profile indicator/binning method.,MEDIUM,NO,HIGH,Not marked MEASURABLE_NOW because the current audit did not verify suitable volume-profile data support.
PRICE_INSIDE_REACTION_ZONE,Price inside reaction zone,"The trade location is inside or near a zone, not merely close to a line.",Manual examples frame reaction as an area with boundaries.,PARTIAL,MEASURABLE_WITH_EXISTING_OHLC_PROXY,"Entry/reference price lies within frozen FVG, IFVG, swing-zone, or volume-zone boundaries.",Existing OHLC for FVG/swing zones; new volume-profile data for profile zones.,MEDIUM,NO,HIGH,fvg_ifvg_near_20p is proximity-only and does not fully cover inside-zone behavior.
CLEAN_TARGET_SPACE_TO_NEXT_ZONE,Clean target space to next zone,The path to opposing liquidity or the next reaction zone appears open enough for continuation after reaction.,Manual examples often imply room-to-target matters.,PARTIAL,MEASURABLE_WITH_EXISTING_OHLC_PROXY,Distance from entry/reference price to next opposing pre-decision swing/liquidity/reaction zone.,Existing OHLC and frozen opposing-zone definitions.,MEDIUM,NO,MEDIUM,Avoid using whether the future target was actually reached.
DIRTY_REACTION_CHOP_AFTER_ENTRY,Dirty reaction or chop after entry,"The post-entry path is messy, delayed, or choppy instead of clean.",Manual examples distinguish clean reactions from dirty reactions.,PARTIAL,HEURISTIC_ONLY,Diagnostic-only post-entry chop tag; do not use as a clean pre-entry feature.,Post-entry OHLC for diagnostics only.,HIGH,NO,LOW,This is explicitly not an entry feature and must remain diagnostic/outcome-only unless reframed as a pre-entry risk proxy.
ZONE_RETEST_OR_RECLAIM,Zone retest or reclaim,Price retests or reclaims a previously defined zone before the decision.,Manual examples imply the reaction is sometimes confirmed by reclaim/retest behavior.,MISSING,MEASURABLE_WITH_EXISTING_OHLC_PROXY,A completed pre-decision candle crosses and closes back inside/outside a frozen zone boundary.,Existing OHLC and a frozen zone definition.,MEDIUM,NO,HIGH,Needs pre-registered zone source and retest/reclaim semantics.
ROUND_OR_NUMERIC_LEVEL_CONFLUENCE,Round or numeric level confluence,The setup aligns with a visible round/numeric level.,Manual examples often include obvious number-level context.,COVERED,MEASURABLE_NOW,"Distance to locked XAUUSD numeric grid, with 004 primary numeric-level hypothesis and 005 stratification only.",Price level only; existing OHLC metadata is sufficient.,LOW,NO,MEDIUM,Already governed by Phase 2 numeric-level overlap fix.
SESSION_CONTEXT_ASIA_TO_NY_WINDOW,Session context Asia to NY window,The trade context depends on session or time-of-day behavior.,"Examples appear session-aware, including Asia/London/NY windows.",COVERED,MEASURABLE_NOW,"Timestamp-derived session bucket, hour, and premium-session indicator.",Timestamp metadata only.,LOW,NO,LOW,Covered as context/stratification; not evidence of edge.
