concept_name,category,deterministic_definition_candidate,pre_entry_available,required_timeframes,required_data,requires_tick_data,requires_real_volume,leakage_risk,subjectivity_risk,expected_failure_modes,possible_metric_formula,minimum_sample_size_for_future_test,future_validation_method,notes
HTF liquidity,HEURISTIC_ONLY,Pre-anchor D1/H4/H1 swing highs/lows with age and untouched-state rules.,True,D1|H4|H1,OHLC candles,False,False,MEDIUM,HIGH,Swing definitions can overfit; liquidity relevance depends on range structure and discretionary importance.,aged_swing_level_exists and not pre_anchor_taken,300,"Pre-register swing rules, then test with temporal split and OOS replay.",Measurable only as a proxy; human liquidity importance is richer than a swing rule.
LTF liquidity,HEURISTIC_ONLY,Pre-anchor M15/M5/M1 local swing points and recent range extremes.,True,M15|M5|M1,OHLC candles,False,False,MEDIUM,MEDIUM,Short lookbacks create noisy micro-swings; same event can be counted repeatedly.,local_swing_count_near_anchor / recent_range_width,300,Pre-register lookback and spacing; compare against matched controls.,"Useful for context, but not sufficient as a standalone Adelin feature."
internal liquidity,HEURISTIC_ONLY,Swing point inside a higher-timeframe range whose outer high/low remains untaken before anchor.,True,H4|H1|M15,OHLC candles|range state,False,False,MEDIUM,HIGH,Range boundaries are subjective; naive definitions can leak if future range completion is used.,swing_inside_pre_anchor_range and range_extremes_not_taken,300,Freeze range construction rules before any outcome replay.,"Must use only already formed ranges, never future range boundaries."
external liquidity,HEURISTIC_ONLY,Swing point outside the recent pre-anchor range using a fixed lookback window.,True,H1|M15|M5|M1,OHLC candles|range state,False,False,MEDIUM,MEDIUM,External classification changes with lookback; shallow external levels can be low quality.,swing_high > max(previous_n_highs) or swing_low < min(previous_n_lows),300,Test only after fixed lookback and depth gates are registered.,"Should be a context feature, not an entry trigger by itself."
H1 liquidity sweep,MEASURABLE_NOW,An H1 swing high/low is taken by pre-anchor candles and closes back inside or stalls beyond it.,True,H1|M15|M5,OHLC candles,False,False,LOW,MEDIUM,Close-back and stall definitions can be tuned; wick-only sweeps can be over-counted.,sweep_distance_pips and close_back_flag before anchor,300,Temporal split with source/session matched controls.,"Measurable now, but old simple sweep evidence is not sufficient for deployability."
M15 sequence validity,HEURISTIC_ONLY,"Ordered pre-anchor M15 structure: approach, sweep, displacement or stall.",True,M15|M5,OHLC candles,False,False,MEDIUM,HIGH,Sequence grammar can become discretionary or tuned to outcomes.,ordered_event_flags = approach_then_sweep_then_reaction_zone_touch,300,Use locked grammar and visual spot-checking before replay.,Requires strict anti-leakage because post-entry reaction is tempting to include.
FVG,MEASURABLE_NOW,Three-candle imbalance with gap between candle 1 and candle 3 on a fixed timeframe.,True,M5|M15,OHLC candles,False,False,LOW,MEDIUM,Mitigation rules and gap-size thresholds can be overfit.,bullish: low_c3 > high_c1; bearish: high_c3 < low_c1; gap_size_pips >= threshold,300,"Pre-register timeframe, min gap, mitigation state, and replay split.",Deterministic if timeframe and mitigation rules are locked.
IFVG,MEASURABLE_NOW,Previously formed FVG that is mitigated pre-anchor and retested from the opposite side pre-anchor.,True,M5|M15,OHLC candles,False,False,MEDIUM,MEDIUM,Retest quality can become subjective; anchor-candle-only retests are leakage-prone.,fvg_exists and mitigated_before_anchor and last_completed_candle_touches_zone,300,Use completed pre-anchor candles only; run OOS replay after fixed definition.,"Measurable, but stricter than generic FVG and easy to mislabel if anchor candle is used."
volume profile,MEASURABLE_WITH_NEW_DATA,Rolling pre-anchor volume-at-price profile with HVN/LVN bins.,True,M5|M1,tick volume|volume-at-price bins or approximated candle volume,True,True,MEDIUM,HIGH,Broker tick volume may not represent real volume; bin size and lookback change labels.,rolling_24h_volume_by_price_bin with HVN/LVN quantiles,300,Validate with fixed binning and broker-data sensitivity checks.,Needs better volume data before it should carry much weight.
volume cracks,MEASURABLE_WITH_NEW_DATA,Pre-anchor candle with exceptional volume and body dominance breaking through a level.,True,M5|M1,OHLC candles|tick or real volume,True,True,MEDIUM,MEDIUM,Volume source quality varies; large candles during news may distort interpretation.,volume >= 2.5 * rolling_volume_avg and body / range >= 0.70,300,Register volume source and compare against news/session buckets.,"Potentially measurable, but only after volume data quality is audited."
